"tip","ass_bid","ass_tid"
"cnt","1183","13"
"cnt","1183","11"
"cnt","1183","5"
"cnt","1184","12"
"cnt","1184","11"
"cnt","1184","26"
"cnt","1184","14"
"cnt","1184","13"
"cnt","1184","27"
"obj","1184","1302"
"cnt","1185","27"
"cnt","1185","13"
"cnt","1185","11"
"cnt","1185","6"
"obj","1186","603"
"obj","1186","549"
"obj","1186","817"
"obj","1186","874"
"cnt","1187","6"
"cnt","1187","11"
"cnt","1187","13"
"cnt","1187","27"
"cnt","1192","27"
"cnt","1192","13"
"cnt","1192","5"
"cnt","1193","6"
"cnt","1193","11"
"cnt","1193","14"
"cnt","1193","13"
"cnt","1194","27"
"cnt","1194","11"
"cnt","1194","5"
"cnt","1195","5"
"cnt","1195","27"
"cnt","1196","5"
"cnt","1196","6"
"cnt","1196","12"
"cnt","1196","11"
"cnt","1196","26"
"cnt","1196","14"
"cnt","1196","13"
"cnt","1196","27"
"cnt","1197","5"
"cnt","1198","27"
"cnt","1198","13"
"cnt","1198","14"
"cnt","1198","11"
"cnt","1198","5"
"cnt","1200","14"
"cnt","1200","13"
"cnt","1200","27"
"cnt","1200","11"
"cnt","1200","5"
"cnt","1200","6"
"cnt","1202","6"
"cnt","1202","27"
"cnt","1202","13"
"cnt","1202","14"
"cnt","1202","11"
"cnt","1202","5"
"cnt","1204","27"
"cnt","1204","13"
"cnt","1204","11"
"cnt","1204","5"
"cnt","1204","6"
"cnt","1205","27"
"cnt","1205","13"
"cnt","1205","14"
"cnt","1205","26"
"cnt","1205","11"
"cnt","1205","12"
"cnt","1205","5"
"cnt","1205","6"
"cnt","1206","27"
"cnt","1206","13"
"cnt","1206","14"
"cnt","1206","26"
"cnt","1206","6"
"cnt","1798","11"
"cnt","1208","6"
"cnt","1208","5"
"cnt","1208","12"
"cnt","1208","11"
"cnt","1208","26"
"cnt","1208","14"
"cnt","1208","13"
"cnt","1208","27"
"cnt","1209","11"
"obj","1209","906"
"obj","1209","873"
"obj","1209","785"
"obj","1209","892"
"obj","1209","447"
"obj","1209","476"
"obj","1209","452"
"cnt","1210","27"
"cnt","1210","13"
"cnt","1210","14"
"cnt","1210","26"
"cnt","1210","11"
"cnt","1210","12"
"cnt","1210","5"
"cnt","1210","6"
"cnt","1211","14"
"cnt","1211","26"
"cnt","1211","11"
"cnt","1211","12"
"cnt","1211","5"
"cnt","1211","6"
"obj","1211","1116"
"obj","1211","944"
"cnt","1212","6"
"cnt","1212","5"
"cnt","1212","12"
"cnt","1212","11"
"cnt","1212","26"
"cnt","1212","14"
